trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.85, 'e': 0.22313016014842985}",30,0,4.866251901126343,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.85, 'e': 0.2018965179946554}",20,14,7.351418065195287,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.85, 'e': 0.18268352405273466}",30,0,-14.433230534196028,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.85, 'e': 0.16529888822158656}",25,0,27.70703534872151,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.85, 'e': 0.1495686192226351}",25,7,24.64946151204422,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.85, 'e': 0.1353352832366127}",20,0,19.02894563319347,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.85, 'e': 0.12245642825298192}",25,0,20.796986929789306,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.85, 'e': 0.11080315836233387}",25,19,-2.623461973829654,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.85, 'e': 0.10025884372280376}",20,0,-21.161588744332015,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.85, 'e': 0.09071795328941253}",20,1,28.592565164598728,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.85, 'e': 0.08208499862389881}",30,0,36.71335308456577,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.85, 'e': 0.07427357821433388}",25,0,26.659630860806974,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.85, 'e': 0.06720551273974976}",20,0,4.25674621222855,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.85, 'e': 0.06081006262521799}",30,7,-2.107791542405205,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.85, 'e': 0.055023220056407245}",20,0,33.317774211214456,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.85, 'e': 0.04978706836786395}",25,0,35.412077763076866,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.85, 'e': 0.04504920239355781}",20,2,27.24844117286171,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.85, 'e': 0.04076220397836621}",20,0,-21.727752186909377,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
33,False,"{'a': 0.85, 'e': 0.03688316740124002}",30,15,29.057848594474986,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.85, 'e': 0.03337326996032609}",20,9,-21.780405667395563,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.85, 'e': 0.030197383422318508}",30,1,-29.617715986137142,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 1}",1
36,False,"{'a': 0.85, 'e': 0.027323722447292562}",20,16,6.2330159327086285,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.85, 'e': 0.02472352647033939}",30,0,35.24567396507568,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.85, 'e': 0.022370771856165605}",20,0,22.522315227057177,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.85, 'e': 0.020241911445804395}",30,7,-23.55334279906101,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
40,False,"{'a': 0.85, 'e': 0.018315638888734186}",25,20,9.744373166988076,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.85, 'e': 0.016572675401761258}",20,0,-15.925213395123926,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
42,False,"{'a': 0.85, 'e': 0.014995576820477707}",20,9,-22.390578192481726,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.85, 'e': 0.013568559012200937}",30,0,40.477549700072174,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.85, 'e': 0.01227733990306844}",25,0,17.89805655254146,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.85, 'e': 0.01110899653824231}",25,12,23.8445549607749,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.85, 'e': 0.010051835744633588}",20,0,26.372192412855984,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.85, 'e': 0.009095277101695817}",20,6,20.201737703656132,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.85, 'e': 0.008229747049020032}",30,13,21.850372606171085,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.85, 'e': 0.00744658307092434}",20,0,37.15331217859724,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
